id,产品类型,价格,传感器尺寸,传感器描述,传感器类型,型号,快门类型,显示屏类型,最高分辨率,有效像素,tags
495,消费,1288,1/2.3英寸,,Exmor RS CMOS,索尼KW1,,触摸屏，高清屏，OLED屏,,1920万,工艺 做工 设计
496,消费，长焦，广角,2180,1/2.3英寸,,背照式CMOS,柯达AZ651,,翻转屏，高清屏,5184×3888,2068万,
497,微单,1.32万,APS-C画幅（23.5*15.6mm）,,Exmor CMOS,索尼A6500套机(16-70mm ZA OSS),电子控制纵走式焦平面快门,触摸屏，旋转屏,6000×4000,2420万,准确率 精度 准确度 清晰度 效率 片率 成功率 像素 菜单功能 按键 功能 工艺 做工 设计
498,消费，卡片，长焦,2390,1/2.3英寸,,,尼康B500,,旋转屏，高清屏,4608×3456,1600万,
499,消费,3299,APS画幅（23.2*15.4mm）,,Exmor APS HD CMOS,索尼ILCE-QX1L套装(搭配SELP1650镜头),电子控制纵走式焦平面快门,,,2010万,续航 电池
500,消费,概念产品,,,,索尼RX1R III,,,,4200万,
501,微单,2739,1英寸,,背照式CMOS,尼康1 J4(单机),电子快门,触摸屏，高清屏,5232×3488,,使用体验 使用
502,消费，卡片,999,1/1.7英寸,,CMOS,卡西欧EX-10,,翻转屏，高清屏,4000×3000,1200万,操作 操控性 可玩性
503,消费，长焦，广角,969,1/2.3英寸,,CMOS,宾得XG-1,,高清屏,4608×3456,1600万,准确率 精度 准确度 清晰度 效率 片率 成功率 像素
504,高端单反,2.04万,全画幅（35.8*23.9mm）,自动，手动，添加除尘数据,CMOS,佳能6D套机(16-35mm II),电子控制焦平面快门,高清屏,5472×3648,2020万,手感 触感 握感 握把 握持 质感 手柄 菜单功能 按键 功能 追焦 追踪 外壳 机身 质地 准确率 精度 准确度 清晰度 效率 片率 成功率 像素 夜拍 感光 重量 分量
505,三防，微单,4799,1英寸（13.2*8.8mm）,,CMOS,尼康AW1套机(11-27.5mm),电子快门,,,1425万,准确率 精度 准确度 清晰度 效率 片率 成功率 像素 操作 操控性 可玩性
506,全景相机,即将上市,（1/2.3）英寸,,CMOS,Insta360 EVO,,,,1800万,
507,中端单反,6050,APS-C画幅（23.5*15.7mm）,,CMOS,尼康D7500套机(18-55mm VR),电子控制纵走式焦平面快门，电子前帘快门（适用于反光板弹起释放模式）,触摸屏，旋转屏,5568×3712,2088万,追焦 追踪 手感 触感 握感 握把 握持 质感 手柄
508,消费，长焦,2299,1/1.7英寸,,背照式CMOS,奥林巴斯STYLUS 1,,触摸屏，旋转屏，高清屏,3968×2976,1200万,夜拍 感光 重量 分量 防抖性 防抖 机震 结构 外形 外观 工艺 做工 设计
509,微单,2799,APS画幅（23.5*15.7mm）,,CMOS,三星NX300M,电子控制纵走式焦平面快门,触摸屏，旋转屏，高清屏，AMOLED显示屏,5472×3468,2030万,外壳 机身 质地
510,消费，长焦，广角,1859,1/2.3英寸,,CMOS,富士S9400W,机械快门,高清屏,4608×3456,1620万,
511,微单,1.22万,APS-C画幅（23.5*15.6mm）,,Exmor CMOS,索尼A6500套机(18-105mm G OSS),电子控制纵走式焦平面快门,触摸屏，旋转屏,6000×4000,2420万,准确率 精度 准确度 清晰度 效率 片率 成功率 像素 菜单功能 按键 功能 工艺 做工 设计
512,高端单反,2.04万,全画幅（36*24mm）,自动，手动，添加除尘数据,CMOS,佳能5D Mark III套机(24-70mm F4),电子控制焦平面快门,高清屏,5760×3840,2230万,使用体验 使用 操作 操控性 可玩性 蒙皮 风格 准确率 精度 准确度 清晰度 效率 片率 成功率 像素 菜单功能 按键 功能 工艺 做工 设计 手感 触感 握感 握把 握持 质感 手柄
513,长焦,1799,,,CCD,佳能SX420 IS,,LCD,,2000万,
514,消费，卡片，长焦，广角,1300,1/2.3英寸,,背照式CMOS（BSI CMOS）,三星WB800F,,触摸屏,4608×3456,1630万,操作 操控性 可玩性 准确率 精度 准确度 清晰度 效率 片率 成功率 像素
515,消费，卡片，三防,1399,1/2.3英寸,,CMOS,富士XP130,,高清屏,,1640万,
516,消费，长焦，广角,899,1/2.3英寸,,CMOS,柯达AZ522,,高清屏,,,防抖性 防抖 机震
517,入门单反,5499,APS画幅（22.3*14.9mm）,除尘功能：自动，手动，添加除尘数据,CMOS,佳能750D套机(18-55mm，55-250mm),电子控制焦平面快门,高清屏,6000×4000,2420万,准确率 精度 准确度 清晰度 效率 片率 成功率 像素 菜单功能 按键 功能 外壳 机身 质地
518,单电,6799,4/3画幅（17.3*13mm）,,CMOS,奥林巴斯E-M1套机(12-50mm),,触摸屏，高清屏,4608×3456mm,1630万,防抖性 防抖 机震 工艺 做工 设计 夜拍 感光 防水性 防尘 三防 防滑性
519,全幅数码旁轴相机,6.32万,全画幅（36*24mm）,,CCD,徕卡M-MONOCHROM,,,5212×3472,1800万,
520,消费,4299,APS画幅,,Foveon X3,适马DP2 Quattro,,高清屏,7680×4320,2900万,操作 操控性 可玩性
521,消费，专业,1399,其它尺寸（2/3英寸）,原色滤光阵列，可控制摩尔纹和伪色，无需光学低通滤镜,X-Trans CMOS II,富士XQ1,,高清屏,4000×3000,1200万,工艺 做工 设计 菜单功能 按键 功能 防抖性 防抖 机震 携带 便携性
522,单电,5499,4/3画幅（17.3*13mm）,,Live MOS,奥林巴斯E-M5 II(单机),电子控制焦平面快门,触摸屏，旋转屏，高清屏,4608×3456,1610万,结构 外形 外观
523,消费,6599,1英寸,,CMOS,松下ZS200,,触摸屏,,2010万,
524,微单,1.21万,全画幅（35.8*23.9mm）,,Exmor CMOS,索尼A7 II套机(24-240mm),电子控制纵走式焦平面快门,旋转屏，高清屏,6000×4000,2430万,工艺 做工 设计 操作 操控性 可玩性 准确率 精度 准确度 清晰度 效率 片率 成功率 像素 手感 触感 握感 握把 握持 质感 手柄
525,高端单反,4.5万,中画幅（43.8*32.8mm）,无低通滤镜设计,CMOS,宾得645Z套机(55mm),电子控制纵走式焦平面快门,,,5140万,外壳 机身 质地 手感 触感 握感 握把 握持 质感 手柄
526,高端单反,3.36万,全画幅（35.9*23.9mm）,,CMOS,尼康D850套机(14-24mm f/2.8G ED),电子控制纵走式焦平面快门,触摸屏，旋转屏,8256×5504,4575万,噪音 声音 手感 触感 握感 握把 握持 质感 手柄 菜单功能 按键 功能 准确率 精度 准确度 清晰度 效率 片率 成功率 像素 工艺 做工 设计 追焦 追踪
527,高端单反,2.99万,全画幅（35.9*23.9mm）,,CMOS,尼康D850套机(70-200mm f/2.8E FL ED VR),电子控制纵走式焦平面快门,触摸屏，旋转屏,8256×5504,4575万,噪音 声音 手感 触感 握感 握把 握持 质感 手柄 菜单功能 按键 功能 准确率 精度 准确度 清晰度 效率 片率 成功率 像素 工艺 做工 设计 追焦 追踪
528,微单,2699,APS画幅（22.3*14.9mm）,除尘功能：自动、手动、添加除尘数据,CMOS,佳能EOS M2套机(EF-M 18-55mm，EF-M 22mm，90EX闪光灯),电子控制焦平面快门,触摸屏，高清屏,5184×3456,1800万,外壳 机身 质地 结构 外形 外观
529,微单,概念产品,全画幅,,,索尼A5,,,,5400万,
530,消费，卡片，长焦，广角,1799,1/2.3英寸,,CMOS,卡西欧ZR2000,机械电子快门,旋转屏，高清屏,4608×3456,1610万,体积 厚度
531,消费，卡片,2899,1/2.3英寸,,CMOS,松下ZS60,,LCD屏,,1800万,
532,入门单反,4559,APS画幅（23.5*15.6mm）,图像传感器清洁，气流控制系统，图像除尘参考数据（需搭配另购的Capture NX 2 软件）,CMOS,尼康D5300套机(18-200mm),电子控制纵走式焦平面快门,旋转屏，高清屏,,2416万,准确率 精度 准确度 清晰度 效率 片率 成功率 像素 外壳 机身 质地 手感 触感 握感 握把 握持 质感 手柄
533,入门单反,3699,APS画幅（23.5*15.6mm）,,CMOS,尼康D3400套机(18-140mm ED VR),电子控制纵走式焦平面快门,,,2416万,工艺 做工 设计 续航 电池
534,消费，专业,概念产品,全画幅,,,索尼RX2,,,,,
535,微单,4.18万,全画幅（35.6*23.8mm）,,Exmor RS CMOS,索尼ILCE-9套机(70-200mm GM OSS),电子控制纵走式焦平面快门,触摸屏，旋转屏,6000×4000,2420万,
536,消费，卡片，长焦，广角,599,1/2.3英寸,,CCD,卡西欧ZS35,机械电子快门,,5152×3864,2010万,准确率 精度 准确度 清晰度 效率 片率 成功率 像素
537,高端单反,1.27万,APS-C画幅（23.5*15.7mm）,,CMOS,尼康D500套机(16-80mm),,触摸屏，翻折屏,5568×3712,2090万,重量 分量 工艺 做工 设计 外壳 机身 质地
538,消费，卡片,599,1/2.3英寸,,CCD,佳能IXUS 160,,,5152×3864,2000万,
539,消费，专业,1.49万,,,,徕卡Mini M,,,,1650万,
540,中端单反,7199,APS画幅（23.5*15.6mm）,清洁图像传感器，图像除尘参考数据（需要另购的Capture NX 2 软件）,CMOS,尼康D7100套机(VR 18-200mm),电子控制纵走式焦平面快门,高清屏,6000×4000,2410万,工艺 做工 设计 使用体验 使用 手感 触感 握感 握把 握持 质感 手柄 操作 操控性 可玩性 准确率 精度 准确度 清晰度 效率 片率 成功率 像素 外壳 机身 质地 菜单功能 按键 功能
541,全景相机,499,,,,华为全景相机,,,5376×2688,1300万,
542,微单,1999,13.2×8.8mm,传感器格式：CX,背照式CMOS,尼康1 J5套机(10-30mm f/3.5-5.6),电子快门,触摸屏，旋转屏,,2081万,操作 操控性 可玩性
543,消费，卡片,1099,1/1.7英寸,,CMOS,卡西欧ZR3700,机械电子快门,旋转屏,4000×3000,1210万,
544,高端单反,2.91万,全画幅（36*24mm）,自动，手动，添加除尘数据,CMOS,佳能5Ds套机(24-70mm II USM),电子控制焦平面快门,高清屏,,5060万,准确率 精度 准确度 清晰度 效率 片率 成功率 像素 续航 电池
545,中端单反,9505,APS画幅（22.3*14.9mm）,"长宽比：3:2 
除尘功能：自动，手动，添加除尘数据",CMOS,佳能60D套机(17-85mm IS，70-300 IS，270EX II灯),电子控制纵走式焦平面快门,旋转屏，高清屏,5184×3456,1800万,准确率 精度 准确度 清晰度 效率 片率 成功率 像素 手感 触感 握感 握把 握持 质感 手柄 操作 操控性 可玩性 工艺 做工 设计
546,,概念产品,,X-Trans IV传感器,X-Trans CMOS,富士X-Pro 3,,,,,
547,消费，三防,1799,1/2.3英寸,,背照式CMOS,佳能D30,,,4000×3000,1210万,防水性 防尘 三防 防滑性
548,四防,2798,1/2.3英寸,,CMOS,松下TS7,,,,,
549,微单,6790,APS-C画幅（23.6*15.6mm）,,X-Trans CMOS III,富士X-T20套机(XC 15-45mm),电子控制纵走式焦平面快门,旋转屏,,2430万,操作 操控性 可玩性 体积 厚度 手感 触感 握感 握把 握持 质感 手柄
550,微单,1.23万,,"带原色滤镜的23.5mm×15.6mm(APS-C) X-Trans CMOS 4
传感器清洁系统：超声波振动",CMOS,富士X-T3套机(XF 35mm f/2.0),焦平面快门,触摸彩色液晶显示屏（约100％视野率）,,2610万,体积 厚度
551,微单,6690,APS-C画幅（23.5*15.6mm）,,X-Trans CMOS III,富士X-E3套机(XC 15-45mm),电子控制纵走式焦平面快门,触摸屏,6000×4000,2430万,菜单功能 按键 功能 手感 触感 握感 握把 握持 质感 手柄
552,入门单反,2999,APS画幅（23.5*15.6mm）,清洁图像传感器、图像除尘参考数据（需要另购的Capture NX 2 软件）,CMOS,尼康D5200套机(18-55mm),电子控制纵走式焦平面快门,旋转屏，高清屏,,2410万,材质 用料 外壳 机身 质地 夜拍 感光 准确率 精度 准确度 清晰度 效率 片率 成功率 像素 菜单功能 按键 功能 操作 操控性 可玩性
553,高端单反,价格面议,,,,尼康D5s,,,,,
554,微单,3999,APS画幅（23.5*15.6mm）,,Exmor APS HD CMOS,索尼ILCE-5100套机(16-50mm，55-210mm),电子控制纵走式焦平面快门,触摸屏，翻转屏，高清屏,,2430万,夜拍 感光 使用体验 使用 操作 操控性 可玩性 追焦 追踪
555,消费，长焦，广角,799,,,,柏卡16-Z21S,,,4608×3456,1600万,使用体验 使用
556,微单,2.34万,APS-C画幅（23.6*15.7mm）,,CMOS,徕卡T套机(18-56mm),,触摸屏,4928×3264,1630万,
557,微单,4499,APS画幅（22.3*14.9mm）,除尘功能：开启/关闭电源时，可自动或手动实施,CMOS,佳能EOS M3套机(18-55mm，55-200mm),电子控制焦平面快门,触摸屏，高清屏,6000×4000,2420万,操作 操控性 可玩性 工艺 做工 设计 体积 厚度 菜单功能 按键 功能
558,微单,4299,APS画幅（23.5*15.6mm）,,Exmor APS HD CMOS,索尼ILCE-5100套机(16-50mm，50mm),电子控制纵走式焦平面快门,触摸屏，翻转屏，高清屏,,2430万,夜拍 感光 使用体验 使用 操作 操控性 可玩性 追焦 追踪
559,中端单反,1.25万,APS画幅（22.4*15mm）,自动，手动，添加除尘数据,CMOS,佳能7D Mark II套机(15-85mm),电子控制焦平面快门,高清屏,5472×3648,2020万,外壳 机身 质地 使用体验 使用 手感 触感 握感 握把 握持 质感 手柄 菜单功能 按键 功能
560,单反,2699,22.3×14.9mm,,CMOS,佳能3000D套机(EF-S 18-55mm IS II),电子控制纵走式焦平面快门,,,1800万,
561,消费，广角,4850,1/1.7英寸,,CMOS,徕卡D-lux6黑漆限量版,电子快门,高清屏,3648×2736,1010万,
562,,即将上市,中画幅（53.4×40mm）,,CMOS,飞思IQ3 100MP Achromatic,电子快门,触摸屏,11608×38708,10000万,
563,消费，卡片，长焦，广角,1899,1/2.3英寸,,CMOS,松下ZS50,,高清屏,4000×3000,1200万,
564,消费，卡片，长焦,998,1/2.3英寸,,CCD,奥林巴斯SZ-15,,,,1600万,
565,微单,2999,APS-C画幅（23.6*15.6mm）,,CMOS,富士X-A20(XC 15-45mm),电子控制纵走式焦平面快门,触摸屏，旋转屏,4896×3264,1630万,结构 外形 外观
566,微单,8499,APS-C画幅（23.5*15.6mm）,,Exmor CMOS sensor,索尼A6300套机(E PZ 18-105mm F/4 G OSS),电子控制纵走式焦平面快门,旋转屏,6000×4000,2420万,
567,入门单反,2799,APS画幅（22.3*14.9mm）,,CMOS,佳能1300D(18-55mm IS II)银色版,电子控制纵走式焦平面快门,,5184×3456,1800万,
568,微单,8499,全画幅（35.8*23.9mm）,,Exmor CMOS,索尼ILCE-7套机(FE 28-70mm，50mm),电子控制纵走式焦平面快门,旋转屏，高清屏,6000×4000,2430万,操作 操控性 可玩性 追焦 追踪 体积 厚度 准确率 精度 准确度 清晰度 效率 片率 成功率 像素
569,消费，卡片，长焦，广角,2699,1/2.3英寸,,背照式CMOS,三星Galaxy Camera 2,,触摸屏，高清屏,4608×3456,1630万,
570,微单,1888,1英寸,,背照式CMOS,尼康1 J4套机(10-30mm),电子快门,触摸屏，高清屏,5232×3488,,使用体验 使用
571,微单,2.08万,35.9x23.9mm,图像传感器格式：FX,CMOS,尼康Z6套机(32GXQD，卡口适配器 FTZ),,翻转触控屏,,2450万,操作 操控性 可玩性
572,高端单反,3.62万,全画幅（35.9*23.9mm）,长宽比：3:2,CMOS,佳能EOS-1D X Mark II套机(50mm f/1.4),电子控制纵走式焦平面快门,触摸屏,5472×3648,2020万,噪音 声音 菜单功能 按键 功能
573,消费，卡片，三防,998,1/2.33英寸,,CCD,松下TS30,,,4608×3456,1600万,
574,入门单反,5199,APS画幅（23.5*15.6mm）,除尘系统：清洁影像传感器，影像除尘参考数据,CMOS,尼康D5500套机(18-140mm),电子控制纵走式焦平面快门,触摸屏，翻折屏，高清屏,6000×4000,2416万,菜单功能 按键 功能 操作 操控性 可玩性 使用体验 使用 手握 持握 准确率 精度 准确度 清晰度 效率 片率 成功率 像素
575,消费,即将上市,1英寸,,,佳能G5 X Mark II,,,,2020万,
576,微单,2888,1/1.7英寸,摄像元件通过“DR II”超声波抖动除尘,,宾得Q-S1套机(5-15mm),,,4000×3000,1240万,夜拍 感光 操作 操控性 可玩性
577,单电,9850,4/3画幅（17.3*13mm）,,Live MOS,松下GH4套机(14-140mm),焦平面快门,高清屏，OLED屏,4608×3456,1605万,
578,旁轴数码,11.5万,,,CMOS,徕卡M Edition 60,,,,2400万,
579,消费，卡片,839,1/2.3英寸,,CCD,佳能IXUS 170,,,5152×3864,2000万,
580,消费，卡片，长焦，广角,828,1/2.3英寸,,CCD,三星WB30F,机械电子快门,,4608×3456,1620万,操作 操控性 可玩性 菜单功能 按键 功能 外壳 机身 质地
581,微单,4899,23.6×15.6mm,,X-Trans CMOS II,富士X-T10套机(16-50mmII),电子控制纵走式焦平面快门,旋转屏,,1630万,工艺 做工 设计 操作 操控性 可玩性 手感 触感 握感 握把 握持 质感 手柄
582,高端单反,概念产品,中画幅（45*30mm）,,,徕卡S3,,,,6400万,
583,消费,1599,1/2.3英寸,,CMOS,理光THETA SC,,,5376×2688,1200万,
584,微单,4799,APS画幅,,背照式CMOS,三星NX500套机(16-50mm),,翻转屏，高清屏，OLED屏,6480×4320,2800万,
585,微单,2.92万,APS-C画幅（23.6*15.7mm）,长宽比为3:2,,徕卡CL(18-56mm),电子快门,触摸屏,6014×4014,2424万,
586,消费，长焦，广角,概念产品,1英寸,,,尼康P700,,,,,携带 便携性
587,微单,3.8万,全画幅,,CMOS,徕卡Q(Typ 116) 四城定制款北京版,机械电子快门,,,2420万,
588,入门单反,3299,APS画幅（22.3*14.9mm）,自动，手动，添加除尘数据,CMOS,佳能100D套机(EF-S 18-55mm STM)白色版,电子控制焦平面快门,触摸屏，高清屏,5184×3456,1800万,手感 触感 握感 握把 握持 质感 手柄 结构 外形 外观 噪音 声音 携带 便携性
589,消费，卡片,629,1/2.3英寸,,CCD,尼康S2900,机械电子快门,,5152×3864,2005万,
590,消费，卡片，广角，三防,1968,1/2.3英寸,,CMOS,尼康AW130s,机械电子快门,高清屏，OLED屏,4608×3456,1605万,
591,微单,1.79万,全画幅（35.8*23.9mm）,,Exmor CMOS,索尼A7 II套机(FE 28-70mm，70-200mm),电子控制纵走式焦平面快门,旋转屏，高清屏,6000×4000,2430万,工艺 做工 设计 操作 操控性 可玩性 准确率 精度 准确度 清晰度 效率 片率 成功率 像素 手感 触感 握感 握把 握持 质感 手柄
592,微单,3599,APS-C画幅（23.5*15.7mm）,,CMOS,富士X-A5套机(XC 16-50mm II),电子控制纵走式焦平面快门,触摸屏，旋转屏,6000×4000,2420万,
593,消费，卡片,2799,1/1.7英寸,,CMOS,卡西欧ZR5500,机械电子快门,旋转屏，高清屏,4000×3000,1210万,操作 操控性 可玩性
594,消费，长焦，广角,2000,1/2.3英寸,加速器，地理磁感器，回旋传感器，回转传感器（针对 OIS）,背照式CMOS（BSI CMOS）,三星GC110,机械电子快门,触摸屏,4608×3456,1630万,菜单功能 按键 功能 准确率 精度 准确度 清晰度 效率 片率 成功率 像素 结构 外形 外观 防抖性 防抖 机震
595,入门单反,4149,APS画幅（22.3*14.9mm）,除尘功能：自动，手动，添加除尘数据,CMOS,佳能760D套机(18-55mm),电子控制焦平面快门,高清屏,6000×4000,2420万,准确率 精度 准确度 清晰度 效率 片率 成功率 像素 外壳 机身 质地 工艺 做工 设计 操作 操控性 可玩性 结构 外形 外观
596,微单,2599,4/3画幅（17.3*13mm）,原色滤镜,Live MOS,松下GF7套机(12-32mm),电控焦平面快门，电子快门,触摸屏，翻转屏，高清屏,4592×3448,1600万,
597,高端单反,4.06万,全画幅（35.9*23.9mm）,,CMOS,尼康D5套机(50mm),电子控制纵走式焦平面快门,触摸屏,5568×3712,2082万,追焦 追踪 工艺 做工 设计 携带 便携性 夜拍 感光 操作 操控性 可玩性
598,高端单反,4.97万,全画幅（35.9*23.9mm）,,CMOS,尼康D5套机(14-24mm),电子控制纵走式焦平面快门,触摸屏,5568×3712,2082万,追焦 追踪 工艺 做工 设计 携带 便携性 夜拍 感光 操作 操控性 可玩性
599,入门单反,3699,APS画幅（23.5*15.6mm）,图像传感器清洁，气流控制系统，图像除尘参考数据（需搭配另购的Capture NX 2 软件）,CMOS,尼康D5300套机(18-55mm VR II),电子控制纵走式焦平面快门,旋转屏，高清屏,,2416万,准确率 精度 准确度 清晰度 效率 片率 成功率 像素 外壳 机身 质地 手感 触感 握感 握把 握持 质感 手柄
600,中端单反,7899,APS画幅（23.5*15.6mm）,清洁图像传感器，图像除尘参考数据（需要另购的Capture NX 2 软件）,CMOS,尼康D7100套机(16-85mm),电子控制纵走式焦平面快门,高清屏,6000×4000,2410万,工艺 做工 设计 使用体验 使用 手感 触感 握感 握把 握持 质感 手柄 操作 操控性 可玩性 准确率 精度 准确度 清晰度 效率 片率 成功率 像素 外壳 机身 质地 菜单功能 按键 功能
601,微单,3300,APS画幅（23.6*15.6mm）,"配有原色滤镜
传感器清洁系统：超声波振动",X-Trans CMOS,富士X-M1套机(XC 16-50mm),焦平面快门,旋转屏，高清屏,4896×3264,1630万,结构 外形 外观 外壳 机身 质地 工艺 做工 设计 手感 触感 握感 握把 握持 质感 手柄
602,消费，卡片,750,1/2.3英寸,,CCD,尼康S2800,机械电子快门,,5152×3864,2005万,准确率 精度 准确度 清晰度 效率 片率 成功率 像素
603,旁轴数码,8.59万,24×36mm,全画幅CMOS传感器,CMOS,徕卡M10套机(28mm f/2),,,5976×3992,2400万,
604,高端单反,价格面议,全画幅,,CMOS,尼康D820,,,,4600万,
605,消费，卡片，长焦,1699,1/2.3英寸,,CMOS,佳能N,,触摸屏，旋转屏，高清屏,4000×3000,1210万,工艺 做工 设计 手感 触感 握感 握把 握持 质感 手柄 菜单功能 按键 功能 结构 外形 外观
606,微单,4299,APS-C画幅（22.3*14.9mm）,,CMOS,佳能EOS M100套机(EF-M 22mm STM),电子控制纵走式焦平面快门,触摸屏，旋转屏,6000×4000,2420万,工艺 做工 设计 外壳 机身 质地 准确率 精度 准确度 清晰度 效率 片率 成功率 像素 操作 操控性 可玩性 结构 外形 外观
607,单电,3.69万,全画幅,,,哈苏HV,,,,2430万,准确率 精度 准确度 清晰度 效率 片率 成功率 像素
608,消费,4299,APS画幅,,Foveon X3,适马DP1 Quattro,,高清屏,7680×4320,2900万,操作 操控性 可玩性
609,全景相机,1998,,,,Insta360 One,,,,2400万,
610,微单,6399,APS-C画幅（23.5*15.6mm）,,Exmor CMOS sensor,索尼A6300套机(E PZ 16-50mm，E 55-210mm),电子控制纵走式焦平面快门,旋转屏,6000×4000,2420万,外壳 机身 质地 结构 外形 外观 重量 分量 防水性 防尘 三防 防滑性 菜单功能 按键 功能 工艺 做工 设计
611,微4/3系统数码微单,1799,4/3画幅（17.3*13mm）,超声波除尘（传感器除尘系统）,Live MOS,奥林巴斯E-PL5套机(14-42mm II R),电子控制焦平面快门,触摸屏，旋转屏，高清屏,4608×3456,1610万,菜单功能 按键 功能 手感 触感 握感 握把 握持 质感 手柄
612,入门单反,2988,APS画幅（22.3*14.9mm）,,CMOS,佳能1300D套机(18-55mm IS II),电子控制纵走式焦平面快门,,5184×3456,1800万,携带 便携性
613,消费，卡片,6799,1英寸（13.2*8.8mm）,,Exmor RS CMOS,索尼RX100 VA握柄套机,电子快门,旋转屏,5472×3648,2010万,
614,微单,2888,APS画幅（23.6*15.6mm）,,CMOS,富士X-A2套机(XF27mm f/2.8),焦平面快门,翻转屏，高清屏,4896×3264,1630万,
615,入门单反,3300,APS画幅（22.3*14.9mm）,除尘功能：手动，添加除尘数据,CMOS,佳能1200D套机(18-55mm II，55-250mm II),电子控制焦平面快门,高清屏,5184×3456,1800万,准确率 精度 准确度 清晰度 效率 片率 成功率 像素 工艺 做工 设计
616,数码后背,31.7万,中画幅（53.7*40.3mm）,像素大小：5.2μm,,玛米亚利图WS80,,触摸屏,10320×7752,8000万,
617,入门单反,4899,APS画幅（23.5*15.6mm）,,CMOS,尼康D5600套机(18-105mm),电子控制纵走式焦平面快门,触摸屏，旋转屏,6000×4000,2416万,准确率 精度 准确度 清晰度 效率 片率 成功率 像素 菜单功能 按键 功能 外壳 机身 质地
618,消费,999,1/2.3英寸,,背照式CMOS,OPPO O-lens1,,,,1635万,工艺 做工 设计
619,微单，单电,6498,4/3画幅,17.3x13.0mm,Live MOS,松下GX9套机(12-32mm),焦平面快门,触摸屏,,2030万,
620,高端单反,2.88万,全画幅（35.9*23.9mm）,,CMOS,尼康D850套机(24-70mm f/2.8G ED),电子控制纵走式焦平面快门,触摸屏，旋转屏,8256×5504,4575万,噪音 声音 手感 触感 握感 握把 握持 质感 手柄 菜单功能 按键 功能 准确率 精度 准确度 清晰度 效率 片率 成功率 像素 工艺 做工 设计 追焦 追踪
621,入门单反,3599,APS画幅（22.3*14.9mm）,自动，手动，添加除尘数据,CMOS,佳能700D套机(EF-S 18-55mm STM)大情圣套装,电子控制焦平面快门,触摸屏，高清屏,5184×3456,1800万,携带 便携性 手感 触感 握感 握把 握持 质感 手柄 外壳 机身 质地 操作 操控性 可玩性 结构 外形 外观
622,,5.49万,,,CMOS,飞思645XF,,触摸屏,,100万,
623,微单，单电,4198,4/3画幅,17.3x13.0mm,Live MOS,松下GF10套机(12-32mm),电子控制纵走式焦平面快门，快门按钮，手动快门，脸部快门，好友快门,触摸屏，旋转屏,4592×3448,1600万,
624,消费，卡片,2399,1/2.3英寸,,CMOS,奥林巴斯TG-4,,高清屏,4608×3456,1600万,
625,消费,899,,,,理光THETA M15,,,,1000万,携带 便携性
626,中端单反,4999,APS画幅（23.7*15.7mm）,除尘：感光元件抖动和SP镀膜,CMOS,宾得K-50套机(DA 18-135mm WR),电子控制纵走式焦平快门,高清屏,4928×3264,1628万,菜单功能 按键 功能 工艺 做工 设计 防水性 防尘 三防 防滑性 外壳 机身 质地 携带 便携性 使用体验 使用
627,微单,9599,（4/3）英寸,传感器尺寸：17.3×13.0mm,Live MOS,奥林巴斯E-M5 II套机(14-150mm II),,触摸屏，旋转屏,4608×3456,,结构 外形 外观
628,消费，长焦,2698,1/2.3英寸,,CCD,柯达AZ652,,翻转屏,,2068万,
629,高端单反,1.36万,全画幅（35.9*24mm）,,CMOS,宾得K-1银色限量版,电子控制纵走式焦平面快门,旋转屏，高清屏,7360×4912,3640万,
630,消费，卡片,3199,1/1.7英寸,,背照式CMOS,卡西欧TR700,电子快门,触摸屏，旋转屏,4000×3000,1110万,
631,消费，卡片，长焦，广角,918,,,CCD,松下SZ10,,,,1600万,
632,微单,4499,23.5×15.7mm,,背照式CMOS,三星NX500套机(18-55mm),,触摸屏，旋转屏,6480×4320,2820万,
633,4/3系统数码微单,3599,4/3画幅（17.3*13mm）,超声波除尘（传感器除尘系统）,Live MOS,奥林巴斯E-P5套机(14-42mm II R),电子控制焦平面快门,"触摸屏，旋转屏，高清屏 
触摸控制：触摸释放快门，触摸放大，触摸实时向导，AF 区域选择，AF区域放大，前一张/后一张，回放放大，触摸选择超级控制面板，触摸选择艺术滤镜，触摸选择场景模式，触摸选择Wi-Fi连接
翻转角度：向上最多80度，向下最多50度
亮度调整：7级
色调选择：鲜艳，普通",4608×3456,1610万,手感 触感 握感 握把 握持 质感 手柄 夜拍 感光
634,三防,799,1/2.3英寸,,CMOS,HTC 如影(Re),,,,1600万,使用体验 使用 携带 便携性 操作 操控性 可玩性 外壳 机身 质地 结构 外形 外观
635,单电,3699,4/3画幅（17.3*13mm）,超声波除尘（传感器除尘系统）,Live MOS,奥林巴斯E-M10套机(14-42mm EZ),电子控制焦平面快门,触摸屏，翻转屏,4608×3456,1610万,外壳 机身 质地 手感 触感 握感 握把 握持 质感 手柄 防抖性 防抖 机震 夜拍 感光
636,微单,8199,4/3画幅（17.4*13mm）,,4/3Live MOS,奥林巴斯PEN-F套机(17mm f/1.8),焦平面快门,触摸屏,5184×3888,2030万,结构 外形 外观 工艺 做工 设计
637,四防,即将上市,（1/2.3）英寸,,CMOS,富士XP140,电子快门,高清屏,4608×3456,1640万,
638,,概念产品,,,,奥林巴斯E-M5 III,机械电子快门,,,2180万,
